trades,wins,losses,win_rate,tp_hits,sl_hits,long_trades,short_trades,avg_R,median_R,avg_win_R,avg_loss_R,expectancy_R,profit_factor,net_profit,return_pct,max_drawdown_abs,max_drawdown_pct,avg_drawdown_abs,equity_final,sharpe_R,avg_hold_bars,median_hold_bars,R_std,R_skew,R_kurtosis,R_95pct,R_05pct,CAGR,MAR,profit_per_trade,risk_of_ruin,ny_session_win_rate,zone_OB_trades,zone_OB_win_rate,bias_aligned_win_rate,displacement_atr_mult,sweep_lookback,cosd_prior_break_bars,rr_tp_alt,max_pullback_candles,variant_id,signals,trades_pct_of_signals
2,2,0,1.0,2,0,1,1,1.048917162207084,1.048917162207084,1.048917162207084,0.0,1.048917162207084,,138.8356859468816,27.767137189376314,0.0,0.0,0.0,638.8356859468815,4.880591343287853,1.0,1.0,0.3039371199637988,0.0,0.0,1.2423415609297244,0.855492763484444,5216748539.756431,,69.4178429734408,,,2,1.0,,1.0,30,2,2.5,7,22,2,1.0
2,2,0,1.0,2,0,1,1,1.048917162207084,1.048917162207084,1.048917162207084,0.0,1.048917162207084,,138.8356859468816,27.767137189376314,0.0,0.0,0.0,638.8356859468815,4.880591343287853,1.0,1.0,0.3039371199637988,0.0,0.0,1.2423415609297244,0.855492763484444,5216748539.756431,,69.4178429734408,,,2,1.0,,1.0,30,2,2.0,5,43,2,1.0
2,2,0,1.0,2,0,1,1,1.048917162207084,1.048917162207084,1.048917162207084,0.0,1.048917162207084,,138.8356859468816,27.767137189376314,0.0,0.0,0.0,638.8356859468815,4.880591343287853,1.0,1.0,0.3039371199637988,0.0,0.0,1.2423415609297244,0.855492763484444,5216748539.756431,,69.4178429734408,,,2,1.0,,1.0,30,2,2.5,5,53,2,1.0
2,2,0,1.0,2,0,1,1,1.048917162207084,1.048917162207084,1.048917162207084,0.0,1.048917162207084,,138.8356859468816,27.767137189376314,0.0,0.0,0.0,638.8356859468815,4.880591343287853,1.0,1.0,0.3039371199637988,0.0,0.0,1.2423415609297244,0.855492763484444,5216748539.756431,,69.4178429734408,,,2,1.0,,1.0,30,2,1.5,3,67,2,1.0
2,2,0,1.0,2,0,1,1,1.048917162207084,1.048917162207084,1.048917162207084,0.0,1.048917162207084,,138.8356859468816,27.767137189376314,0.0,0.0,0.0,638.8356859468815,4.880591343287853,1.0,1.0,0.3039371199637988,0.0,0.0,1.2423415609297244,0.855492763484444,5216748539.756431,,69.4178429734408,,,2,1.0,,1.0,30,2,1.5,5,88,2,1.0
2,2,0,1.0,2,0,1,1,1.048917162207084,1.048917162207084,1.048917162207084,0.0,1.048917162207084,,138.8356859468816,27.767137189376314,0.0,0.0,0.0,638.8356859468815,4.880591343287853,1.0,1.0,0.3039371199637988,0.0,0.0,1.2423415609297244,0.855492763484444,5216748539.756431,,69.4178429734408,,,2,1.0,,1.0,30,2,2.0,3,98,2,1.0
2,2,0,1.0,2,0,1,1,1.048917162207084,1.048917162207084,1.048917162207084,0.0,1.048917162207084,,138.8356859468816,27.767137189376314,0.0,0.0,0.0,638.8356859468815,4.880591343287853,1.0,1.0,0.3039371199637988,0.0,0.0,1.2423415609297244,0.855492763484444,5216748539.756431,,69.4178429734408,,,2,1.0,,1.0,30,2,2.5,3,107,2,1.0
3,3,0,1.0,3,0,1,2,0.9772784960135138,0.8340011636263729,0.9772784960135138,0.0,0.9772784960135138,,189.6968548445808,37.93937096891613,0.0,0.0,0.0,689.6968548445807,6.82088701493178,1.0,1.0,0.2481636192674618,1.7320508075688754,0.0,1.2208499610716532,0.8340011636263729,5692231095928.314,,63.2322849481936,,,3,1.0,,1.0,15,2,2.5,3,111,3,1.0
3,3,0,1.0,3,0,1,2,0.9772784960135138,0.8340011636263729,0.9772784960135138,0.0,0.9772784960135138,,189.6968548445808,37.93937096891613,0.0,0.0,0.0,689.6968548445807,6.82088701493178,1.0,1.0,0.2481636192674618,1.7320508075688754,0.0,1.2208499610716532,0.8340011636263729,5692231095928.314,,63.2322849481936,,,3,1.0,,1.0,15,2,1.5,3,120,3,1.0
4,3,1,0.75,3,1,1,3,0.4829588720101353,0.8340011636263729,0.9772784960135138,1.0,0.4829588720101353,3.3913566483532156,133.76146540782122,26.752293081564215,-55.93538943675958,-8.825937279219957,-13.983847359189895,633.7614654078211,0.9571218442754623,1.0,1.0,1.009189947755781,-1.7503686546733292,3.3343245756550353,1.1993583612135819,-0.724899825456044,2518568473.041437,28535988794.881058,33.440366351955305,0.12518812875275853,,4,0.75,,1.0,15,2,2.5,5,3,4,1.0
